cohort_name,group_name,group_level,strata_name,strata_level,variable_name,variable_level,variable_type,estimate_type,estimate,estimate_suppressed
rectal_prolapse_broad_cs,Codelist,Overall,Overall,Overall,Record count,Overall,Numeric,Count,49506,FALSE
rectal_prolapse_broad_cs,By concept,Proctoptosis (4006305),Overall,Overall,Record count,Overall,Numeric,Count,3728,FALSE
rectal_prolapse_broad_cs,By concept,Rectal prolapse (81336),Overall,Overall,Record count,Overall,Numeric,Count,45778,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Year,2021,Record count,Overall,Numeric,Count,9193,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Year,2017,Record count,Overall,Numeric,Count,10657,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Year,2022,Record count,Overall,Numeric,Count,2474,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Year,2019,Record count,Overall,Numeric,Count,9852,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Year,2020,Record count,Overall,Numeric,Count,8149,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Year,2018,Record count,Overall,Numeric,Count,9181,FALSE
rectal_prolapse_broad_cs,By concept,Proctoptosis (4006305),Year,2022,Record count,Overall,Numeric,Count,132,FALSE
rectal_prolapse_broad_cs,By concept,Proctoptosis (4006305),Year,2020,Record count,Overall,Numeric,Count,573,FALSE
rectal_prolapse_broad_cs,By concept,Proctoptosis (4006305),Year,2021,Record count,Overall,Numeric,Count,671,FALSE
rectal_prolapse_broad_cs,By concept,Proctoptosis (4006305),Year,2019,Record count,Overall,Numeric,Count,754,FALSE
rectal_prolapse_broad_cs,By concept,Rectal prolapse (81336),Year,2018,Record count,Overall,Numeric,Count,8393,FALSE
rectal_prolapse_broad_cs,By concept,Rectal prolapse (81336),Year,2017,Record count,Overall,Numeric,Count,9847,FALSE
rectal_prolapse_broad_cs,By concept,Proctoptosis (4006305),Year,2017,Record count,Overall,Numeric,Count,810,FALSE
rectal_prolapse_broad_cs,By concept,Rectal prolapse (81336),Year,2021,Record count,Overall,Numeric,Count,8522,FALSE
rectal_prolapse_broad_cs,By concept,Rectal prolapse (81336),Year,2022,Record count,Overall,Numeric,Count,2342,FALSE
rectal_prolapse_broad_cs,By concept,Rectal prolapse (81336),Year,2019,Record count,Overall,Numeric,Count,9098,FALSE
rectal_prolapse_broad_cs,By concept,Rectal prolapse (81336),Year,2020,Record count,Overall,Numeric,Count,7576,FALSE
rectal_prolapse_broad_cs,By concept,Proctoptosis (4006305),Year,2018,Record count,Overall,Numeric,Count,788,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Sex,Female,Record count,Overall,Numeric,Count,38348,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Sex,Male,Record count,Overall,Numeric,Count,11158,FALSE
rectal_prolapse_broad_cs,By concept,Rectal prolapse (81336),Sex,Male,Record count,Overall,Numeric,Count,9318,FALSE
rectal_prolapse_broad_cs,By concept,Rectal prolapse (81336),Sex,Female,Record count,Overall,Numeric,Count,36460,FALSE
rectal_prolapse_broad_cs,By concept,Proctoptosis (4006305),Sex,Male,Record count,Overall,Numeric,Count,1840,FALSE
rectal_prolapse_broad_cs,By concept,Proctoptosis (4006305),Sex,Female,Record count,Overall,Numeric,Count,1888,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Age group,18 to 24,Record count,Overall,Numeric,Count,852,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Age group,None,Record count,Overall,Numeric,Count,7540,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Age group,75 to 150,Record count,Overall,Numeric,Count,18690,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Age group,45 to 54,Record count,Overall,Numeric,Count,4950,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Age group,25 to 34,Record count,Overall,Numeric,Count,2035,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Age group,35 to 44,Record count,Overall,Numeric,Count,3856,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Age group,0 to 17,Record count,Overall,Numeric,Count,2501,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Age group,65 to 74,Record count,Overall,Numeric,Count,9082,FALSE
rectal_prolapse_broad_cs,By concept,Rectal prolapse (81336),Age group,18 to 24,Record count,Overall,Numeric,Count,780,FALSE
rectal_prolapse_broad_cs,By concept,Rectal prolapse (81336),Age group,45 to 54,Record count,Overall,Numeric,Count,4231,FALSE
rectal_prolapse_broad_cs,By concept,Proctoptosis (4006305),Age group,None,Record count,Overall,Numeric,Count,666,FALSE
rectal_prolapse_broad_cs,By concept,Rectal prolapse (81336),Age group,65 to 74,Record count,Overall,Numeric,Count,8488,FALSE
rectal_prolapse_broad_cs,By concept,Proctoptosis (4006305),Age group,65 to 74,Record count,Overall,Numeric,Count,594,FALSE
rectal_prolapse_broad_cs,By concept,Proctoptosis (4006305),Age group,45 to 54,Record count,Overall,Numeric,Count,719,FALSE
rectal_prolapse_broad_cs,By concept,Rectal prolapse (81336),Age group,35 to 44,Record count,Overall,Numeric,Count,3340,FALSE
rectal_prolapse_broad_cs,By concept,Rectal prolapse (81336),Age group,None,Record count,Overall,Numeric,Count,6874,FALSE
rectal_prolapse_broad_cs,By concept,Rectal prolapse (81336),Age group,25 to 34,Record count,Overall,Numeric,Count,1742,FALSE
rectal_prolapse_broad_cs,By concept,Rectal prolapse (81336),Age group,75 to 150,Record count,Overall,Numeric,Count,17903,FALSE
rectal_prolapse_broad_cs,By concept,Proctoptosis (4006305),Age group,18 to 24,Record count,Overall,Numeric,Count,72,FALSE
rectal_prolapse_broad_cs,By concept,Proctoptosis (4006305),Age group,75 to 150,Record count,Overall,Numeric,Count,787,FALSE
rectal_prolapse_broad_cs,By concept,Proctoptosis (4006305),Age group,0 to 17,Record count,Overall,Numeric,Count,81,FALSE
rectal_prolapse_broad_cs,By concept,Rectal prolapse (81336),Age group,0 to 17,Record count,Overall,Numeric,Count,2420,FALSE
rectal_prolapse_broad_cs,By concept,Proctoptosis (4006305),Age group,25 to 34,Record count,Overall,Numeric,Count,293,FALSE
rectal_prolapse_broad_cs,By concept,Proctoptosis (4006305),Age group,35 to 44,Record count,Overall,Numeric,Count,516,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Age group and sex,0 to 17 and Male,Record count,Overall,Numeric,Count,1497,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Age group and sex,45 to 54 and Male,Record count,Overall,Numeric,Count,1790,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Age group and sex,65 to 74 and Female,Record count,Overall,Numeric,Count,7449,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Age group and sex,25 to 34 and Female,Record count,Overall,Numeric,Count,1257,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Age group and sex,35 to 44 and Male,Record count,Overall,Numeric,Count,1554,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Age group and sex,25 to 34 and Male,Record count,Overall,Numeric,Count,778,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Age group and sex,18 to 24 and Male,Record count,Overall,Numeric,Count,373,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Age group and sex,45 to 54 and Female,Record count,Overall,Numeric,Count,3160,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Age group and sex,18 to 24 and Female,Record count,Overall,Numeric,Count,479,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Age group and sex,75 to 150 and Female,Record count,Overall,Numeric,Count,16983,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Age group and sex,35 to 44 and Female,Record count,Overall,Numeric,Count,2302,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Age group and sex,65 to 74 and Male,Record count,Overall,Numeric,Count,1633,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Age group and sex,None and Female,Record count,Overall,Numeric,Count,5714,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Age group and sex,None and Male,Record count,Overall,Numeric,Count,1826,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Age group and sex,75 to 150 and Male,Record count,Overall,Numeric,Count,1707,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Age group and sex,0 to 17 and Female,Record count,Overall,Numeric,Count,1004,FALSE
rectal_prolapse_broad_cs,By concept,Rectal prolapse (81336),Age group and sex,35 to 44 and Male,Record count,Overall,Numeric,Count,1247,FALSE
rectal_prolapse_broad_cs,By concept,Proctoptosis (4006305),Age group and sex,75 to 150 and Male,Record count,Overall,Numeric,Count,202,FALSE
rectal_prolapse_broad_cs,By concept,Rectal prolapse (81336),Age group and sex,0 to 17 and Male,Record count,Overall,Numeric,Count,1439,FALSE
rectal_prolapse_broad_cs,By concept,Proctoptosis (4006305),Age group and sex,35 to 44 and Male,Record count,Overall,Numeric,Count,307,FALSE
rectal_prolapse_broad_cs,By concept,Rectal prolapse (81336),Age group and sex,65 to 74 and Male,Record count,Overall,Numeric,Count,1323,FALSE
rectal_prolapse_broad_cs,By concept,Rectal prolapse (81336),Age group and sex,45 to 54 and Female,Record count,Overall,Numeric,Count,2852,FALSE
rectal_prolapse_broad_cs,By concept,Rectal prolapse (81336),Age group and sex,75 to 150 and Female,Record count,Overall,Numeric,Count,16398,FALSE
rectal_prolapse_broad_cs,By concept,Proctoptosis (4006305),Age group and sex,65 to 74 and Female,Record count,Overall,Numeric,Count,284,FALSE
rectal_prolapse_broad_cs,By concept,Rectal prolapse (81336),Age group and sex,None and Male,Record count,Overall,Numeric,Count,1487,FALSE
rectal_prolapse_broad_cs,By concept,Proctoptosis (4006305),Age group and sex,65 to 74 and Male,Record count,Overall,Numeric,Count,310,FALSE
rectal_prolapse_broad_cs,By concept,Proctoptosis (4006305),Age group and sex,75 to 150 and Female,Record count,Overall,Numeric,Count,585,FALSE
rectal_prolapse_broad_cs,By concept,Rectal prolapse (81336),Age group and sex,None and Female,Record count,Overall,Numeric,Count,5387,FALSE
rectal_prolapse_broad_cs,By concept,Rectal prolapse (81336),Age group and sex,18 to 24 and Female,Record count,Overall,Numeric,Count,456,FALSE
rectal_prolapse_broad_cs,By concept,Rectal prolapse (81336),Age group and sex,65 to 74 and Female,Record count,Overall,Numeric,Count,7165,FALSE
rectal_prolapse_broad_cs,By concept,Rectal prolapse (81336),Age group and sex,0 to 17 and Female,Record count,Overall,Numeric,Count,981,FALSE
rectal_prolapse_broad_cs,By concept,Proctoptosis (4006305),Age group and sex,18 to 24 and Male,Record count,Overall,Numeric,Count,49,FALSE
rectal_prolapse_broad_cs,By concept,Rectal prolapse (81336),Age group and sex,35 to 44 and Female,Record count,Overall,Numeric,Count,2093,FALSE
rectal_prolapse_broad_cs,By concept,Proctoptosis (4006305),Age group and sex,18 to 24 and Female,Record count,Overall,Numeric,Count,23,FALSE
rectal_prolapse_broad_cs,By concept,Proctoptosis (4006305),Age group and sex,0 to 17 and Male,Record count,Overall,Numeric,Count,58,FALSE
rectal_prolapse_broad_cs,By concept,Proctoptosis (4006305),Age group and sex,0 to 17 and Female,Record count,Overall,Numeric,Count,23,FALSE
rectal_prolapse_broad_cs,By concept,Proctoptosis (4006305),Age group and sex,25 to 34 and Male,Record count,Overall,Numeric,Count,164,FALSE
rectal_prolapse_broad_cs,By concept,Rectal prolapse (81336),Age group and sex,18 to 24 and Male,Record count,Overall,Numeric,Count,324,FALSE
rectal_prolapse_broad_cs,By concept,Proctoptosis (4006305),Age group and sex,None and Male,Record count,Overall,Numeric,Count,339,FALSE
rectal_prolapse_broad_cs,By concept,Proctoptosis (4006305),Age group and sex,35 to 44 and Female,Record count,Overall,Numeric,Count,209,FALSE
rectal_prolapse_broad_cs,By concept,Proctoptosis (4006305),Age group and sex,None and Female,Record count,Overall,Numeric,Count,327,FALSE
rectal_prolapse_broad_cs,By concept,Rectal prolapse (81336),Age group and sex,25 to 34 and Male,Record count,Overall,Numeric,Count,614,FALSE
rectal_prolapse_broad_cs,By concept,Rectal prolapse (81336),Age group and sex,45 to 54 and Male,Record count,Overall,Numeric,Count,1379,FALSE
rectal_prolapse_broad_cs,By concept,Proctoptosis (4006305),Age group and sex,45 to 54 and Male,Record count,Overall,Numeric,Count,411,FALSE
rectal_prolapse_broad_cs,By concept,Proctoptosis (4006305),Age group and sex,25 to 34 and Female,Record count,Overall,Numeric,Count,129,FALSE
rectal_prolapse_broad_cs,By concept,Proctoptosis (4006305),Age group and sex,45 to 54 and Female,Record count,Overall,Numeric,Count,308,FALSE
rectal_prolapse_broad_cs,By concept,Rectal prolapse (81336),Age group and sex,25 to 34 and Female,Record count,Overall,Numeric,Count,1128,FALSE
rectal_prolapse_broad_cs,By concept,Rectal prolapse (81336),Age group and sex,75 to 150 and Male,Record count,Overall,Numeric,Count,1505,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Overall,Overall,Person count,Overall,Numeric,Count,15020,FALSE
rectal_prolapse_broad_cs,By concept,Proctoptosis (4006305),Overall,Overall,Person count,Overall,Numeric,Count,1637,FALSE
rectal_prolapse_broad_cs,By concept,Rectal prolapse (81336),Overall,Overall,Person count,Overall,Numeric,Count,13870,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Year,2017,Person count,Overall,Numeric,Count,4202,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Year,2018,Person count,Overall,Numeric,Count,3407,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Year,2022,Person count,Overall,Numeric,Count,1141,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Year,2019,Person count,Overall,Numeric,Count,3528,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Year,2021,Person count,Overall,Numeric,Count,3180,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Year,2020,Person count,Overall,Numeric,Count,2896,FALSE
rectal_prolapse_broad_cs,By concept,Rectal prolapse (81336),Year,2019,Person count,Overall,Numeric,Count,3273,FALSE
rectal_prolapse_broad_cs,By concept,Proctoptosis (4006305),Year,2019,Person count,Overall,Numeric,Count,350,FALSE
rectal_prolapse_broad_cs,By concept,Proctoptosis (4006305),Year,2017,Person count,Overall,Numeric,Count,438,FALSE
rectal_prolapse_broad_cs,By concept,Rectal prolapse (81336),Year,2020,Person count,Overall,Numeric,Count,2707,FALSE
rectal_prolapse_broad_cs,By concept,Proctoptosis (4006305),Year,2022,Person count,Overall,Numeric,Count,77,FALSE
rectal_prolapse_broad_cs,By concept,Rectal prolapse (81336),Year,2017,Person count,Overall,Numeric,Count,3884,FALSE
rectal_prolapse_broad_cs,By concept,Rectal prolapse (81336),Year,2018,Person count,Overall,Numeric,Count,3116,FALSE
rectal_prolapse_broad_cs,By concept,Proctoptosis (4006305),Year,2018,Person count,Overall,Numeric,Count,387,FALSE
rectal_prolapse_broad_cs,By concept,Rectal prolapse (81336),Year,2021,Person count,Overall,Numeric,Count,2958,FALSE
rectal_prolapse_broad_cs,By concept,Proctoptosis (4006305),Year,2021,Person count,Overall,Numeric,Count,286,FALSE
rectal_prolapse_broad_cs,By concept,Proctoptosis (4006305),Year,2020,Person count,Overall,Numeric,Count,259,FALSE
rectal_prolapse_broad_cs,By concept,Rectal prolapse (81336),Year,2022,Person count,Overall,Numeric,Count,1077,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Sex,Female,Person count,Overall,Numeric,Count,10850,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Sex,Male,Person count,Overall,Numeric,Count,4170,FALSE
rectal_prolapse_broad_cs,By concept,Proctoptosis (4006305),Sex,Male,Person count,Overall,Numeric,Count,712,FALSE
rectal_prolapse_broad_cs,By concept,Proctoptosis (4006305),Sex,Female,Person count,Overall,Numeric,Count,925,FALSE
rectal_prolapse_broad_cs,By concept,Rectal prolapse (81336),Sex,Male,Person count,Overall,Numeric,Count,3653,FALSE
rectal_prolapse_broad_cs,By concept,Rectal prolapse (81336),Sex,Female,Person count,Overall,Numeric,Count,10217,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Age group,75 to 150,Person count,Overall,Numeric,Count,4586,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Age group,25 to 34,Person count,Overall,Numeric,Count,739,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Age group,None,Person count,Overall,Numeric,Count,2550,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Age group,0 to 17,Person count,Overall,Numeric,Count,1068,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Age group,45 to 54,Person count,Overall,Numeric,Count,1816,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Age group,65 to 74,Person count,Overall,Numeric,Count,2908,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Age group,35 to 44,Person count,Overall,Numeric,Count,1325,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Age group,18 to 24,Person count,Overall,Numeric,Count,272,FALSE
rectal_prolapse_broad_cs,By concept,Proctoptosis (4006305),Age group,None,Person count,Overall,Numeric,Count,293,FALSE
rectal_prolapse_broad_cs,By concept,Rectal prolapse (81336),Age group,65 to 74,Person count,Overall,Numeric,Count,2707,FALSE
rectal_prolapse_broad_cs,By concept,Rectal prolapse (81336),Age group,25 to 34,Person count,Overall,Numeric,Count,657,FALSE
rectal_prolapse_broad_cs,By concept,Proctoptosis (4006305),Age group,65 to 74,Person count,Overall,Numeric,Count,280,FALSE
rectal_prolapse_broad_cs,By concept,Rectal prolapse (81336),Age group,0 to 17,Person count,Overall,Numeric,Count,1048,FALSE
rectal_prolapse_broad_cs,By concept,Proctoptosis (4006305),Age group,25 to 34,Person count,Overall,Numeric,Count,117,FALSE
rectal_prolapse_broad_cs,By concept,Proctoptosis (4006305),Age group,18 to 24,Person count,Overall,Numeric,Count,38,FALSE
rectal_prolapse_broad_cs,By concept,Proctoptosis (4006305),Age group,45 to 54,Person count,Overall,Numeric,Count,289,FALSE
rectal_prolapse_broad_cs,By concept,Rectal prolapse (81336),Age group,18 to 24,Person count,Overall,Numeric,Count,240,FALSE
rectal_prolapse_broad_cs,By concept,Rectal prolapse (81336),Age group,None,Person count,Overall,Numeric,Count,2334,FALSE
rectal_prolapse_broad_cs,By concept,Rectal prolapse (81336),Age group,75 to 150,Person count,Overall,Numeric,Count,4326,FALSE
rectal_prolapse_broad_cs,By concept,Proctoptosis (4006305),Age group,35 to 44,Person count,Overall,Numeric,Count,190,FALSE
rectal_prolapse_broad_cs,By concept,Rectal prolapse (81336),Age group,35 to 44,Person count,Overall,Numeric,Count,1184,FALSE
rectal_prolapse_broad_cs,By concept,Proctoptosis (4006305),Age group,0 to 17,Person count,Overall,Numeric,Count,47,FALSE
rectal_prolapse_broad_cs,By concept,Rectal prolapse (81336),Age group,45 to 54,Person count,Overall,Numeric,Count,1599,FALSE
rectal_prolapse_broad_cs,By concept,Proctoptosis (4006305),Age group,75 to 150,Person count,Overall,Numeric,Count,399,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Age group and sex,25 to 34 and Female,Person count,Overall,Numeric,Count,464,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Age group and sex,None and Male,Person count,Overall,Numeric,Count,700,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Age group and sex,35 to 44 and Male,Person count,Overall,Numeric,Count,544,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Age group and sex,0 to 17 and Female,Person count,Overall,Numeric,Count,433,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Age group and sex,65 to 74 and Male,Person count,Overall,Numeric,Count,659,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Age group and sex,25 to 34 and Male,Person count,Overall,Numeric,Count,275,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Age group and sex,35 to 44 and Female,Person count,Overall,Numeric,Count,781,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Age group and sex,45 to 54 and Male,Person count,Overall,Numeric,Count,663,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Age group and sex,65 to 74 and Female,Person count,Overall,Numeric,Count,2249,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Age group and sex,75 to 150 and Female,Person count,Overall,Numeric,Count,3962,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Age group and sex,45 to 54 and Female,Person count,Overall,Numeric,Count,1153,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Age group and sex,None and Female,Person count,Overall,Numeric,Count,1850,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Age group and sex,18 to 24 and Male,Person count,Overall,Numeric,Count,125,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Age group and sex,18 to 24 and Female,Person count,Overall,Numeric,Count,147,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Age group and sex,75 to 150 and Male,Person count,Overall,Numeric,Count,624,FALSE
rectal_prolapse_broad_cs,Codelist,Overall,Age group and sex,0 to 17 and Male,Person count,Overall,Numeric,Count,635,FALSE
rectal_prolapse_broad_cs,By concept,Proctoptosis (4006305),Age group and sex,65 to 74 and Female,Person count,Overall,Numeric,Count,150,FALSE
rectal_prolapse_broad_cs,By concept,Proctoptosis (4006305),Age group and sex,18 to 24 and Male,Person count,Overall,Numeric,Count,21,FALSE
rectal_prolapse_broad_cs,By concept,Proctoptosis (4006305),Age group and sex,None and Female,Person count,Overall,Numeric,Count,165,FALSE
